filename,width,height,label,xmin,ymin,xmax,ymax
Car48-front-5_jpg.rf.f22e05879861d354a7a8f4762a512f0d.jpg,640,640,LicensePlate,29,187,627,445
Car8-back-3_jpg.rf.eec926ea941b2280bb4186ba1dcc69ab.jpg,640,640,LicensePlate,232,314,404,404
Car30-back-2_jpg.rf.ee6b656b0ae399259b58cb96cc28a65c.jpg,640,640,LicensePlate,250,392,375,449
95_jpg.rf.f29468cce5b531dd90f86ae544d94751.jpg,640,640,LicensePlate,181,226,402,307
Car2-front-5_jpg.rf.f18bff5b5207b796ac15352d505f6b16.jpg,640,640,LicensePlate,92,256,548,473
DSC_3769_JPG_jpg.rf.f1b8128d2d11510a621378520db2aadb.jpg,640,640,LicensePlate,279,354,470,469
Car35-back-5_jpg.rf.f0193eeccd806acff533e598a0b02dbe.jpg,640,640,LicensePlate,117,366,491,563
Car3-front-2_jpg.rf.f3eaa86e971ae108ea66ad62d0d686f0.jpg,640,640,LicensePlate,243,391,422,485
Car30-back-2_jpg.rf.f41307ed13841879b98b9fcd37ecc7a1.jpg,640,640,LicensePlate,234,380,372,443
Car31-back-1_jpg.rf.f16a6f6f3bd7af6df7aa0327fa149206.jpg,640,640,LicensePlate,290,367,371,410
Car33-front-3_jpg.rf.f45bca6bded88fb94478f03dc1f4753e.jpg,640,640,LicensePlate,181,309,464,448
DSC_4615_JPG_jpg.rf.f1e10ffaa8029c7e80be91654f822be8.jpg,640,640,LicensePlate,315,223,449,307
Car2-front-4_jpg.rf.f6d0e039e9d7bfce9824320326396704.jpg,640,640,LicensePlate,143,238,502,406
Car19-back-4_jpg.rf.f5fee8b0b5a3dc040d7aea83f8c6bfeb.jpg,640,640,LicensePlate,102,170,590,422
Car28-back-3_jpg.rf.f1764a507f4f3b9f5c3a086095796b28.jpg,639,639,LicensePlate,195,296,468,433
Car47-back-4_jpg.rf.f620700bfd635c43822cbeb8fd8e6e48.jpg,639,639,LicensePlate,142,205,526,405
Car34-back-5_jpg.rf.f4f59bc1e28722de7fd45ec86f4d770b.jpg,640,640,LicensePlate,104,237,474,414
18_jpg.rf.f4871a973cabf68c501ad7f6216d74df.jpg,640,640,LicensePlate,177,215,443,361
Car27-back-3_jpg.rf.f3a070c92e9c62ede119053621a9f228.jpg,640,640,LicensePlate,260,297,403,371
Car35-front-3_jpg.rf.f0f6253c2543ca72a9d558c8e287973a.jpg,640,640,LicensePlate,122,427,410,553
DSC_3804_JPG_jpg.rf.f09788255e44d526fec9489c1d1e67d8.jpg,640,640,LicensePlate,246,228,439,336
IMG_20231011_065619_jpg.rf.f598214edcd7bb3d1d0db3db90882643.jpg,640,640,LicensePlate,251,298,383,363
Car15-back-3_jpg.rf.f8440a755c9b8dba27b6641bd975d522.jpg,640,640,LicensePlate,177,281,462,394
8_jpg.rf.f7cf8fd28f0576bcc564d269f63c90b6.jpg,640,640,LicensePlate,170,213,418,359
77_jpg.rf.f56a2b98d3b36a925b42526211bdc0ea.jpg,640,640,LicensePlate,147,271,397,399
Car4-back-4_jpg.rf.f7297c6e94e230cdb750d0941f3e1ee5.jpg,640,640,LicensePlate,143,216,493,394
Car50-back-1_jpg.rf.f7f3745ea6ce4fa000d2e1dfa37d771f.jpg,640,640,LicensePlate,268,373,382,433
Car49-back-1_jpg.rf.f85fc4930ff81576b07189dceaa4a0fb.jpg,640,640,LicensePlate,239,297,388,378
42_jpg.rf.f26a49efd1c57e2f8ce066f5bc662c8e.jpg,640,640,LicensePlate,289,272,479,365
DSC_3719_JPG_jpg.rf.f8586eb9a975e540df88e4487998f6d5.jpg,640,640,LicensePlate,277,286,422,376
Car45-back-5_jpg.rf.f7e6dbb308bf4b806d136d9d70e88c22.jpg,640,640,LicensePlate,139,244,477,381
DSC_3869_JPG_jpg.rf.fa2a543213071f61957f8e0a472d3678.jpg,640,640,LicensePlate,296,300,461,393
IMG_20231011_065836_jpg.rf.f82256828bdaa089c01d34a45f46e7cb.jpg,640,640,LicensePlate,223,248,445,405
Car47-back-1_jpg.rf.f879a990d1a772275c59c08b66fcb670.jpg,640,640,LicensePlate,259,259,357,314
Car4-back-4_jpg.rf.f86fb3ebd3d5c3dad1ea23a8e5a6edf0.jpg,640,640,LicensePlate,95,203,484,401
IMG_20231011_064602_jpg.rf.fae5cc94e57f8256ccdb31ff84461ed9.jpg,640,640,LicensePlate,225,256,424,381
DSC_4275_JPG_jpg.rf.faceb90cd0f4c4e8b4a9f7ebc497b60b.jpg,640,640,LicensePlate,235,332,358,404
DSC_4509_JPG_jpg.rf.f86a9652cec141814e54de566032a98d.jpg,640,640,LicensePlate,251,528,325,576
Car29-front-4_jpg.rf.f9ae6d5f6230b6576e3ec9e429d79687.jpg,640,640,LicensePlate,113,310,473,478
Car34-back-3_jpg.rf.f87c59d17752d25de3892d40be70ca90.jpg,640,640,LicensePlate,241,375,412,458
97_jpg.rf.f983ed1d83fda99acba4937ec8c53405.jpg,640,640,LicensePlate,203,265,448,410
Car27-back-3_jpg.rf.f34d640ff47f0ff9ef291ec29b295082.jpg,640,640,LicensePlate,254,298,394,371
Car31-front-2_jpg.rf.f94346cff49313ecfd3222626485333f.jpg,640,640,LicensePlate,238,391,426,487
DSC_3714_JPG_jpg.rf.f962668db63cdc3c331ae1864f8813ca.jpg,640,640,LicensePlate,295,278,459,376
